trial,alpha,preclude,preserve,temp,time(s),keys,db_size_bytes,L0_total,L0_Hot,L0_Warm,L0_Cold,L0_Unknown,L1_total,L1_Hot,L1_Warm,L1_Cold,L1_Unknown,L2_total,L2_Hot,L2_Warm,L2_Cold,L2_Unknown,L3_total,L3_Hot,L3_Warm,L3_Cold,L3_Unknown,L4_total,L4_Hot,L4_Warm,L4_Cold,L4_Unknown,L5_total,L5_Hot,L5_Warm,L5_Cold,L5_Unknown,L6_total,L6_Hot,L6_Warm,L6_Cold,L6_Unknown,rocksdb.flush.write.bytes,rocksdb.compact.write.bytes,rocksdb.bytes.written,rocksdb.compaction.total.time.cpu_micros,rocksdb.bytes.compressed.from,rocksdb.bytes.compressed.to,rocksdb.wal.bytes,rocksdb.stall.micros,rocksdb.memtable.payload.bytes.at.flush,rocksdb.memtable.garbage.bytes.at.flush,rocksdb.last.level.read.bytes,rocksdb.last.level.read.count,rocksdb.non.last.level.read.bytes,rocksdb.non.last.level.read.count,write.P50,write.P95,write.P99,write.P100,write.COUNT,write.SUM,write.AVG
1,1.2,0,0,cold,69.9704,1000000,221859805,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,235695397,723023720,16407152794,12979901,19219131598,953524648,16407152794,56623418,16270230905,11561905505,63481300,76833,811094852,988922,9.173691,18.384745,30.659013,915259.0,1000000,68083305,68.083305
2,0.5,120,120,cold,74.7417,1000000,718693060,5,0,0,0,5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,6,0,0,0,6,0,0,0,0,0,810508226,2319693034,16410542657,35291634,62668775999,3114822102,16410542657,60221912,16273594301,105924778,384863615,461846,2175723045,2644182,9.612384,19.138693,45.925743,847290.0,1000000,72441508,72.441508
2,0.5,0,0,cold,94.5538,1000000,734675774,4,0,0,0,4,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,6,0,0,6,0,810458613,2452121820,16410542657,37554767,65343754345,3245575368,16410542657,78489013,16273594301,106761174,327096126,392938,2355873912,2862907,10.591411,20.223542,48.833281,1492706.0,1000000,92122487,92.122487
3,0.5,20,20,cold,93.5284,1000000,818805517,6,0,0,0,6,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,3,0,0,0,3,4,0,0,4,0,810508380,2694607846,16410542657,40579383,70209996041,3487543958,16410542657,78678092,16273594301,105924778,623980619,756133,2270097479,2756547,9.456667,19.182309,82.960404,1076265.0,1000000,91071974,91.071974
1,0.9,40,40,cold,65.5292,1000000,479577568,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,620011515,1619547182,16409090136,26299266,44861108380,2228346506,16409090136,51226521,16272153227,3893075820,163316777,195718,1749779546,2128663,9.632051,19.379636,31.618502,1045367.0,1000000,63447288,63.447288
3,0.5,80,80,cold,86.7876,1000000,744532324,4,0,0,0,4,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,6,0,0,0,6,0,0,0,0,0,810508356,2309489903,16410542657,35792873,62476780875,3105151232,16410542657,72273975,16273594301,105924778,294004790,351541,2243708050,2726588,9.05503,17.750744,37.301775,985257.0,1000000,84594336,84.594336
3,0.5,50,50,cold,88.8407,1000000,981680731,16,0,0,0,16,1,0,0,0,1,2,0,0,0,2,2,0,0,0,2,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,813743995,2380187981,16410542657,36153577,63909299396,3175978913,16410542657,74358117,16339479239,107253145,270581589,327719,2355956298,2862585,9.38004,18.183865,41.742362,963878.0,1000000,86494571,86.494571
1,1.2,40,40,cold,65.1968,1000000,269038403,6,0,0,0,6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,235443682,923014799,16407152794,15148314,23251634730,1153659246,16407152794,51843285,16270230905,11567054724,387813059,472531,687289457,838077,9.294632,16.916909,30.780429,819026.0,1000000,63309799,63.309799
2,1.2,40,40,cold,70.0275,1000000,224072103,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,235182385,1007669465,16407152794,16475889,24923439562,1236631873,16407152794,57025931,16270230905,11572269504,479178641,583169,693808533,846403,8.94797,15.683711,30.535714,1005983.0,1000000,68197614,68.197614
3,1.2,0,0,cold,70.142,1000000,215691042,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,235695397,738947124,16407152794,12706636,19534092354,969156298,16407152794,56789257,16270230905,11561905505,63472785,76769,830068985,1012071,9.269502,18.25915,31.421604,841117.0,1000000,68250886,68.250886
3,0.5,120,120,cold,91.1497,1000000,838716997,7,0,0,0,7,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,810508267,2373072481,16410542657,36592611,63763219099,3168525436,16410542657,75673877,16273594301,105924778,292724996,351533,2262257293,2747511,10.194246,20.088357,49.754343,1094084.0,1000000,88675808,88.675808
3,1.2,25,25,cold,65.6473,1000000,216126990,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,235451150,939891623,16407152794,15465989,23550570928,1168641271,16407152794,51653969,16270230905,11566907111,347260100,422261,752149917,917343,9.670102,19.070592,31.486147,794631.0,1000000,63693372,63.693372
3,1.2,40,40,cold,58.0375,1000000,237025177,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,235702050,766439014,16407152794,13414637,20106591773,997832741,16407152794,44258301,16336102194,11609244888,35467236,42649,874645978,1065993,9.298436,19.283122,32.133333,799329.0,1000000,56047923,56.047923
1,0.9,120,120,cold,76.0977,1000000,468635690,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,620305404,1655961468,16409090136,27127565,45617118764,2266037673,16409090136,61992672,16272153227,3887204996,185640571,222636,1766932863,2149673,9.352875,17.61608,31.871426,1402144.0,1000000,73943491,73.943491
2,0.9,65,65,cold,77.0971,1000000,496911833,7,0,0,0,7,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,620304729,1678749447,16409090136,26883331,46040113559,2287113913,16409090136,63011997,16272153227,3887221397,162850570,195500,1787296972,2173349,9.432757,17.017635,28.69988,943827.0,1000000,75050803,75.050803
3,0.5,0,0,cold,91.7259,1000000,771675114,6,0,0,0,6,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,2,0,0,0,2,6,0,0,6,0,810501516,2440228930,16410542657,37105247,65106123866,3233793273,16410542657,75622416,16273594301,105924778,317535904,381240,2357492330,2864988,9.651794,19.672034,54.364037,1253525.0,1000000,89383261,89.383261
2,0.5,80,80,cold,92.9991,1000000,735577171,11,0,0,0,11,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,6,0,0,0,6,0,0,0,0,0,810373861,2431498444,16410542657,37286730,64917116588,3226282314,16410542657,77619021,16273594301,108548753,384960843,461846,2294548029,2789390,9.590961,17.697334,45.881425,1412905.0,1000000,90737078,90.737078
2,0.5,20,20,cold,107.037,1000000,714172861,4,0,0,0,4,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,2,0,0,0,2,4,0,0,4,0,810387378,3044784893,16410542657,46375950,77221097245,3835225666,16410542657,90747457,16273594301,108269939,1148473214,1392859,2154490189,2619133,9.907463,21.078015,2013.264192,1150306.0,1000000,104464685,104.464685
2,1.2,10,10,cold,64.9463,1000000,209632827,6,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,235453750,822353371,16407152794,13985317,21198670614,1051812658,16407152794,51339151,16270230905,11566857920,193756987,235578,791413524,964990,9.26094,18.663579,31.679201,1043584.0,1000000,62959958,62.959958
2,0.9,40,40,cold,93.6986,1000000,423155022,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,2,0,0,2,0,620022931,2368889984,16409090136,37093508,59867913937,2972771135,16409090136,78932042,16272153227,3892846230,1101880984,1338262,1609939493,1960109,9.67835,19.861301,69.101111,1481990.0,1000000,91444470,91.44447
2,0.9,15,15,cold,77.0672,1000000,429154040,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,3,0,0,3,0,620601213,2120914407,16409090136,33310000,54932808813,2726878227,16409090136,62033556,16272153227,3881301358,952498426,1157059,1508521757,1836598,9.50145,19.888739,75.854384,1539950.0,1000000,74868132,74.868132
1,1.2,25,25,cold,72.4272,1000000,219508268,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,235203831,784268074,16407152794,13928297,20425508469,1013711378,16407152794,58699482,16270230905,11571843121,67121172,80703,878844210,1071795,9.548433,18.835742,30.197353,1004532.0,1000000,70448064,70.448064
